English,"(for context, not to be translated)",Word Count: 1101,Divehi,
Standard,map background which is standard roadmap,1,ޗާާޓުގެ ބެކްގްރައުންޑް,
Start Mapping,,2,ޗާޓް ހަދަން ފަށާ,
Started a line,started drawing,3,ރޮނގެއް އިތުރުކުރަން ފަށައިފި,
Started an area,started drawing,3,ސަރަޙައްދެއް އިތުރުކުރަން ފަށައިފި,
Structure,"different type of road (bridge, tunnel, etc)",1,އެކި މަގުތަކުގެ އޮނިގަނޑު,?
subject,email messages,1,މައުޟޫއު,
Supermarket,,1,ސުޕަރމާރކެޓް,
Surface,"type of road : dirt, asphalt, etc",1,މަގު,
Takeaway,restaurant,1,ޓޭކްއަވޭ ރެސްޓޯރަންޓް,
Tertiary Road,more trafficked type of road connecting residential roads,2,ބާރުބޮޑު މަގުތައް,
There are no other users who are mapping nearby yet.,,10,މިވަގުތު ޗާޓު ކުރަހަމުންދާ އިތުރު ބައިވެރިޔަކު ކައިރިއަކު ނެތް,
There aren't enough lines/areas here to disconnect,you can't use disconnect tool because it's only 1 line ,8,އެންމެ ރޮނގެއް އޮތުމުން ޑިސްކަނެކްޓް ޓޫލް ބޭނުމެއް ނުކުރެވޭނެ,
This can't be made circular because it's not a loop,,10,މިި ވަށްބުރަކަށް ނުހެދޭނެ ,
This can't be made square because it's not squarish,if the shape is not similar to a square its corners can't be adjusted,9,މި ހަތަރެސްކަނަކަށް ނުހެދޭނެ,
"This is an editor for OpenStreetMap, the free and editable map of the world.",,14,މިއީ އޯޕަން ސްޓްރީޓް މެޕްގެ އެޑިޓަރެއް. އޯޕަން ސްޓްރީޓް މެޕަކީ ހިލޭ އަދި އެޑިޓްކުރެވޭ ދުނިޔޭގެ ޗާޓެއް,
"To make an edit, you'll need to log in.",,9,އެޑިޓްކުރެވޭނީ ލޮގިންވެގެން,?
Toilets,restroom on map,1,ފާޚާނާ,
town,,1,އަވަށް,
Traces,GPS uploads,1,ޖިޕީއެސް މައުލޫމާތު,
Translate,add different language names for this place,1,އެކި ބަސްބަހުން ބޭނުންކުރާ ނަންތައް,
Transport Map,map specially designed for buses/trains/etc,2,ދަތުރުފަތުރުގެ ޗާޓު,
travel agency,,2,ޓްރެވެލް އޭޖެންސީ,
Tunnel,,1,ޓަނަލް,
Type,"type of shop, type of building, etc",1,އެކިިބާވަތްތަކުގެ ތަންތަން,
Undo,,1,ރަނގަޅުކުރޭ,
"Unlike other maps, OpenStreetMap is completely created by people like you, and it's free for anyone to fix, update, download and use.",,22,އެހެެން ޗާޓުތަކާއި ޚިލާފަށް އޯޕަން ސްޓްރީޓް މެޕަކީ ތިބޭފުޅުން ތައްޔާރުކުރައްވާ ޗާޓުތަކެއް. އަދި މިއީ ހިލޭ ބޭނުންކުރެވޭނެ ޗާޓެއް,
Unmaintained Track Road,dirt road,3,ނުހަދާ މަގުތައް,
Update home location when I click on the map?,option to set location visually on the map,9,ޗާޓަށް ކްލިކް ކުރުމުން ލޮކޭޝަން ފެންނާނެ,
Upload a trace,,3,ފާހަަގައެއް އިތުރުކުރައްވާ,
